Date,Open,High,Low,Close,Volume,50-day MA,200-day MA,Close_diff,lag_1,lag_7,rolling_mean_7,rolling_std_7
2012-10-16,90.767143,92.900002,90.14286,92.827141,137442900,94.42225724,82.82849994,2.1471409999999906,90.68,93.227142,90.965102,1.040861538480456
2012-10-17,92.695717,93.255714,92.0,92.087143,97259400,94.48997147999998,82.99519994,-0.7399979999999999,92.827141,91.167145,91.09653028571428,1.125284950990851
2012-10-18,91.370003,91.722855,90.0,90.377144,119156100,94.52648576,83.151771365,-1.7099989999999963,92.087143,90.835716,91.03102000000001,1.1559302660094044
2012-10-19,90.150002,90.252853,87.08857,87.120003,145397275,94.49537155999998,83.288778525,-3.2571410000000043,90.377144,91.558571,90.39693885714287,1.8357732397120872
2012-10-22,87.488571,90.76857,87.251427,90.575714,136682700,94.53060014,83.43994281,3.455711000000008,87.120003,89.728569,90.51795957142858,1.8121396431944279
2012-10-23,90.14286,90.557144,87.385712,87.622856,145397275,94.48305726000001,83.576821375,-2.952858000000006,90.575714,89.958572,90.18428585714287,2.121023484060387
2012-10-24,88.777145,89.507141,87.234283,88.118568,139631800,94.44059998,83.715099935,0.4957119999999975,87.622856,90.68,89.818367,2.238921809093794
2012-10-25,88.571426,88.85714,86.507141,87.077141,145397275,94.37977143999998,83.84866421499999,-1.0414269999999988,88.118568,92.827141,88.99693842857143,1.992277169375969
2012-10-26,87.061432,87.714287,84.428574,86.285713,145397275,94.28737138000001,83.97909992999999,-0.7914279999999962,87.077141,92.087143,88.16816271428571,1.6737335837793723
2012-10-31,84.982857,85.994286,83.957146,85.045715,127500800,94.13654281999999,84.10446421500001,-1.239998,86.285713,90.377144,87.40652999999999,1.7135633109763693
2012-11-01,85.459999,86.14286,84.881432,85.220001,90324500,93.94051421999998,84.22720707499998,0.17428599999999506,85.045715,87.120003,87.13510114285714,1.906169426669996
2012-11-02,85.127144,85.278572,82.10714,82.400002,145397275,93.71405716,84.332699935,-2.8199989999999957,85.220001,90.575714,85.96714228571429,1.950869170187504
2012-11-05,83.360001,83.96714,82.514282,83.517143,132283900,93.4733429,84.444749935,1.1171410000000037,82.400002,87.622856,85.38061185714287,1.9869711500159206
2012-11-06,84.318573,84.391426,82.870003,83.264282,93729300,93.24539994000001,84.56085705500001,-0.25286100000001,83.517143,88.118568,84.68714242857143,1.6982577047990461
2012-11-07,81.977142,82.077141,79.39286,79.714287,145397275,92.94477144000001,84.654135635,-3.5499949999999956,83.264282,87.077141,83.63530614285715,2.1823976237875153
2012-11-08,80.089996,80.318573,76.470001,76.821426,145397275,92.55068574,84.73794990999998,-2.8928609999999964,79.714287,86.285713,82.28326514285713,3.032747883876526
2012-11-09,77.202858,79.26857,76.245712,78.151428,145397275,92.18571425999998,84.80966419500001,1.3300019999999932,76.821426,85.045715,81.298367,3.104731251444741
2012-11-12,79.164284,79.214287,76.949997,77.547142,128950500,91.81245712,84.879807055,-0.6042860000000019,78.151428,85.220001,80.20224428571429,2.831908002255799
2012-11-13,76.987144,78.639999,76.622856,77.557144,133237300,91.46682860000001,84.948107055,0.010002000000000066,77.547142,82.400002,79.51040742857143,2.7968484195583567
2012-11-14,77.928574,78.207146,76.597145,76.697144,119292600,91.10008576,85.008014205,-0.8599999999999994,77.557144,83.517143,78.53612185714285,2.314809605138363
2012-11-15,76.790001,77.071426,74.660004,75.08857,145397275,90.67337144,85.05739992499998,-1.6085739999999902,76.697144,83.264282,77.368163,1.4219283429895007
2012-11-16,75.028572,75.714287,72.25,75.382858,145397275,90.26608565999999,85.108464225,0.29428799999999455,75.08857,79.714287,76.74938742857141,1.1466063652253984
2012-11-19,77.244286,81.071426,77.125717,80.818573,145397275,89.9502571,85.187471375,5.435715000000002,75.382858,76.821426,77.32040842857143,1.9217554354684367
2012-11-20,81.701431,81.707146,79.225716,80.129997,145397275,89.60874282,85.25977850500001,-0.6885759999999976,80.818573,78.151428,77.60306114285713,2.19099711839413
2012-11-21,80.60714,81.052856,79.514282,80.242859,93250500,89.32005722,85.329585675,0.11286199999999269,80.129997,77.547142,77.98816357142857,2.4058986141518033
2012-11-23,81.024284,81.714287,80.371429,81.64286,68206600,89.06551436,85.40292139499999,1.4000010000000032,80.242859,77.557144,78.57183728571428,2.754281271350949
2012-11-26,82.271431,84.285713,81.958572,84.218575,145397275,88.8362001,85.48352854500001,2.5757150000000024,81.64286,76.697144,79.64632742857144,3.31174325592637
2012-11-27,84.221428,84.345711,82.871429,83.540001,133332500,88.55562865999998,85.54896425999999,-0.6785739999999976,84.218575,75.08857,80.85367471428572,2.886450795929597
2012-11-28,82.46714,83.685715,81.751427,83.277145,130216100,88.24608579999999,85.61290713,-0.2628559999999993,83.540001,75.382858,81.98143,1.6847422155517493
2012-11-29,84.317146,84.89286,83.60714,84.194283,128674700,87.93059996,85.67487853,0.9171379999999942,83.277145,80.818573,82.46367428571429,1.7770154349641605
2012-11-30,83.827141,84.057144,83.239998,83.611427,97829900,87.59737134000001,85.72903566999999,-0.5828559999999925,84.194283,80.129997,82.96102142857141,1.4768497154608062
2012-12-03,84.807144,84.941429,83.64286,83.741432,91070000,87.26619992,85.792264275,0.13000499999999704,83.611427,80.242859,83.46081757142858,0.8716431679435922
2012-12-04,83.114288,83.114288,81.732857,82.264282,139267100,86.91519985999999,85.84486425499999,-1.4771500000000088,83.741432,81.64286,83.54959214285714,0.6620840887920615
2012-12-05,81.272858,81.321426,76.96714,76.970001,145397275,86.45434276,85.87105711,-5.294280999999998,82.264282,84.218575,82.51408157142858,2.515539656581983
2012-12-06,75.562859,79.044289,74.089996,78.177139,145397275,86.04419978,85.89419278999999,1.2071380000000005,76.970001,83.540001,81.74795842857144,2.9330185272405775
2012-12-07,79.057144,79.314285,75.714287,76.178574,145397275,85.64337124,85.90862852000001,-1.9985649999999993,78.177139,83.277145,80.73387685714285,3.490384109598282
2012-12-10,75.0,76.93,74.511429,75.688568,145397275,85.25662838,85.91822137499999,-0.49000599999999395,76.178574,84.194283,79.51877471428573,3.5646903947520348
2012-12-11,77.110001,78.508568,76.767143,77.341431,145397275,84.85682842,85.931778545,1.6528629999999964,75.688568,83.611427,78.623061,3.1256201298111512
